ID,estado,period,CV
10,ENVHEAT,First_30s,3.5720863024519787
10,ENVHEAT,Last_30s,4.629868866978977
10,WATCOLD,First_30s,12.722704167268848
10,WATCOLD,Last_30s,8.27054597565306
10,WATHEAT,First_30s,10.512927269307093
10,WATHEAT,Last_30s,6.358574959168403
11,15C,First_30s,9.207357900915799
11,15C,Last_30s,12.963168304945928
11,1C,First_30s,9.262473084312772
11,1C,Last_30s,2.7301519808632335
11,29C,First_30s,45.21030735298689
11,29C,Last_30s,44.868599479132584
11,36C,First_30s,30.137759850735623
11,36C,Last_30s,51.923598060246924
11,8C,First_30s,5.4230788307069595
11,8C,Last_30s,7.266193884588376
11,ENVCOLD,First_30s,8.568449204258242
11,ENVCOLD,Last_30s,5.0799700067157705
11,WATCOLD,First_30s,6.9166108877715224
11,WATCOLD,Last_30s,9.113835327187891
11,WATHEAT,First_30s,2.4851149753692257
11,WATHEAT,Last_30s,2.2302906778024036
12,15C,First_30s,4.940816653054281
12,15C,Last_30s,8.498639385162072
12,1C,First_30s,9.079964722885064
12,1C,Last_30s,7.640345068703347
12,29C,First_30s,3.2430088349554853
12,29C,Last_30s,4.363250127441626
12,36C,First_30s,5.965036732481584
12,36C,Last_30s,4.825687475933791
12,8C,First_30s,10.30907907919523
12,8C,Last_30s,16.749151638147424
12,ENVCOLD,First_30s,2.699746235780209
12,ENVCOLD,Last_30s,3.2700143448070396
12,WATCOLD,First_30s,9.01052808255602
12,WATCOLD,Last_30s,4.612572554233347
12,WATHEAT,First_30s,6.62747664741404
12,WATHEAT,Last_30s,4.691573505547118
13,1C,First_30s,14.58255553203887
13,1C,Last_30s,6.246068663133684
13,29C,First_30s,9.212110996023872
13,29C,Last_30s,21.245302783450608
13,36C,First_30s,4.562061726580968
13,36C,Last_30s,26.52258231333678
13,8C,First_30s,4.225746661919814
13,8C,Last_30s,6.2593313036151645
13,ENVCOLD,First_30s,8.616503386108036
13,ENVCOLD,Last_30s,5.417169151472728
13,ENVHEAT,First_30s,4.356995529694767
13,ENVHEAT,Last_30s,4.465582897434684
13,WATCOLD,First_30s,7.430825164795513
13,WATCOLD,Last_30s,6.083305121049822
13,WATHEAT,First_30s,4.875197231845287
13,WATHEAT,Last_30s,6.7603200917981905
14,15C,First_30s,5.455431569297717
14,15C,Last_30s,5.852668708505437
14,1C,First_30s,12.563756472539891
14,1C,Last_30s,8.63599594916995
14,29C,First_30s,8.425956326668452
14,29C,Last_30s,11.613892932056883
14,36C,First_30s,20.78778416747476
14,36C,Last_30s,22.67463228389458
14,8C,First_30s,19.291496503919
14,8C,Last_30s,6.146465925487482
14,ENVCOLD,First_30s,12.932870257009702
14,ENVCOLD,Last_30s,5.900716654527419
14,ENVHEAT,First_30s,14.195853950039226
14,ENVHEAT,Last_30s,7.558635061234343
14,WATCOLD,First_30s,9.42906128528051
14,WATCOLD,Last_30s,14.186655550103417
14,WATHEAT,First_30s,34.87505184392264
14,WATHEAT,Last_30s,34.19117400396343
15,15C,First_30s,7.640843108987112
15,15C,Last_30s,7.50762946698777
15,1C,First_30s,8.931645128406837
15,1C,Last_30s,18.14717642922965
15,29C,First_30s,11.973740582147533
15,29C,Last_30s,8.110535866715756
15,36C,First_30s,11.991339357803234
15,36C,Last_30s,7.5261587406472445
15,8C,First_30s,8.390387767757238
15,8C,Last_30s,9.154075800550276
15,ENVCOLD,First_30s,3.530159334088171
15,ENVCOLD,Last_30s,5.112824580884322
15,ENVHEAT,First_30s,4.9598800209129354
15,ENVHEAT,Last_30s,7.975218698597146
15,WATCOLD,First_30s,3.566522989954358
15,WATCOLD,Last_30s,4.842465427806976
15,WATHEAT,First_30s,2.6593578679303147
15,WATHEAT,Last_30s,5.777400058829859
16,15C,First_30s,10.04157806830951
16,15C,Last_30s,12.72045977351342
16,1C,First_30s,5.919864285365105
16,1C,Last_30s,10.215910721630765
16,29C,First_30s,43.64990611129777
16,29C,Last_30s,17.156808745560635
16,36C,First_30s,9.374136905551383
16,36C,Last_30s,53.828349874662976
16,8C,First_30s,4.905522242820096
16,8C,Last_30s,5.218751235718141
16,ENVHEAT,First_30s,5.187503745316675
16,ENVHEAT,Last_30s,4.514080089778811
16,WATCOLD,First_30s,7.728797789260845
16,WATCOLD,Last_30s,6.724679892065638
16,WATHEAT,First_30s,5.995389934010091
16,WATHEAT,Last_30s,2.595442795955647
17,15C,First_30s,2.995470803810557
17,15C,Last_30s,7.97391288163788
17,1C,First_30s,29.39093646070443
17,1C,Last_30s,10.906907139595992
17,29C,First_30s,3.835629497277726
17,29C,Last_30s,18.46235311075756
17,36C,First_30s,32.223348813870054
17,36C,Last_30s,16.367394096378685
17,8C,First_30s,10.578504710249085
17,8C,Last_30s,6.845260217733491
17,ENVCOLD,First_30s,6.6146785809708595
17,ENVCOLD,Last_30s,3.02904348037037
17,ENVHEAT,First_30s,4.611605953385752
17,ENVHEAT,Last_30s,3.151459515853292
17,WATCOLD,First_30s,5.308993815550898
17,WATCOLD,Last_30s,6.8298675019309645
17,WATHEAT,First_30s,6.909129999277823
17,WATHEAT,Last_30s,3.549953716350191
18,15C,First_30s,6.690843085156908
18,15C,Last_30s,6.815468460265089
18,1C,First_30s,12.88556591538175
18,1C,Last_30s,10.422172322316152
18,29C,First_30s,11.202700393282115
18,29C,Last_30s,14.80960816288069
18,36C,First_30s,11.75355091807043
18,36C,Last_30s,9.925569592106061
18,8C,First_30s,14.957458681384395
18,8C,Last_30s,8.088786996569924
18,ENVCOLD,First_30s,2.956854578075665
18,ENVCOLD,Last_30s,2.6389471149085812
18,ENVHEAT,First_30s,10.17915003610031
18,ENVHEAT,Last_30s,4.039231116483048
18,WATCOLD,First_30s,8.791918517539271
18,WATCOLD,Last_30s,5.990746099077388
19,15C,First_30s,8.523666263183934
19,15C,Last_30s,7.3173338158583245
19,29C,First_30s,13.513925331923229
19,29C,Last_30s,11.262294623355237
19,ENVHEAT,First_30s,3.661296171764203
19,ENVHEAT,Last_30s,3.440294582560704
19,WATHEAT,First_30s,5.764530996456171
19,WATHEAT,Last_30s,6.46133905337983
20,15C,First_30s,24.880667576405965
20,15C,Last_30s,8.428096013266794
20,1C,First_30s,6.976384596550157
20,1C,Last_30s,7.915594835766407
20,29C,First_30s,5.376509774042747
20,29C,Last_30s,6.593249682862696
20,36C,First_30s,6.4944837824521455
20,36C,Last_30s,20.9149632134805
20,8C,First_30s,13.261074914677465
20,8C,Last_30s,7.98076959806849
20,ENVCOLD,First_30s,6.9199887873477275
20,ENVCOLD,Last_30s,5.6936524656726615
20,ENVHEAT,First_30s,5.039417016420328
20,ENVHEAT,Last_30s,5.496850769785872
20,WATHEAT,First_30s,3.5480266421679194
20,WATHEAT,Last_30s,8.360457368220423
21,15C,First_30s,9.122257233634663
21,15C,Last_30s,6.332115413789912
21,1C,First_30s,8.215838362577497
21,1C,Last_30s,9.112590771339873
21,29C,First_30s,5.173425116325822
21,29C,Last_30s,5.287708962940565
21,36C,First_30s,8.943881373862569
21,36C,Last_30s,14.330610990361537
21,8C,First_30s,11.863207233811941
21,8C,Last_30s,7.921832235328012
21,ENVCOLD,First_30s,5.377718922193019
21,ENVCOLD,Last_30s,5.7175772878495605
21,ENVHEAT,First_30s,5.457216177774712
21,ENVHEAT,Last_30s,4.7709272809127174
21,WATHEAT,First_30s,5.434246213250446
21,WATHEAT,Last_30s,4.72657824018449
22,15C,First_30s,7.066757697436923
22,15C,Last_30s,13.78147289988633
22,1C,First_30s,3.867767050551893
22,1C,Last_30s,7.092141461113006
22,36C,First_30s,33.80224078764083
22,36C,Last_30s,33.05572719429784
22,8C,First_30s,6.533351691311344
22,8C,Last_30s,4.320800006609218
