Block,Temperature,Treatment,Snail,MeanHR_mov,SDNN_mov,RMSSD_mov,pNN50_mov,NNi_mov,Normalized_RMSSD,CV
Cold,8,8C,29,53.38402492,57.90668778,75.43262716,44.23076923,1124.524107,0.0670796,5.149439431
Cold,22,ENVCOLD,1,45.96205907,98.9511893,121.2752875,57.77777778,1311.598231,0.092463747,7.54432165
Cold,22,ENVCOLD,2,45.26517635,73.0010408,78.05527715,38.63636364,1325.180656,0.058901612,5.508761426
Cold,22,ENVCOLD,3,53.87688329,146.7094634,139.5974881,59.61538462,1122.006985,0.124417664,13.07562835
Cold,22,ENVCOLD,5,55.34971475,131.6610471,91.89992046,37.03703704,1086.057911,0.084617882,12.12283855
Cold,22,ENVCOLD,6,45.37499823,129.117114,88.240733,42.22222222,1322.473838,0.066723991,9.763301949
Cold,22,ENVCOLD,8,50.13160647,55.66578947,51.97512323,24.48979592,1197.331851,0.043409121,4.649152983
Cold,22,ENVCOLD,9,38.51955251,119.5722869,119.8762568,51.35135135,1564.026799,0.07664591,7.645155887
Cold,22,ENVCOLD,11,52.54338019,95.90970267,91.99216963,37.25490196,1142.301278,0.080532318,8.396182734
Cold,22,ENVCOLD,12,36.45608639,49.88642157,67.17848989,34.28571429,1646.284973,0.040806113,3.030242175
Cold,22,ENVCOLD,13,41.61347529,122.6110745,111.7138642,48.7804878,1442.865084,0.077425024,8.497750473
Cold,22,ENVCOLD,14,46.94244673,156.3928733,143.2362282,48.88888889,1283.321652,0.111613661,12.18656859
Cold,22,ENVCOLD,15,44.17842993,75.88386183,57.54788892,50,1360.014823,0.042314163,5.579634909
Cold,22,ENVCOLD,17,50.88003103,66.01956544,72.57148993,40.81632653,1180.65592,0.061467095,5.591770161
Cold,22,ENVCOLD,18,36.29213351,44.65734813,55.52287321,34.28571429,1653.696498,0.033575008,2.700456111
Cold,22,ENVCOLD,20,53.55595566,73.48666477,61.70614514,36.53846154,1121.377705,0.055027084,6.553248245
Cold,22,ENVCOLD,21,43.62330081,84.73306552,100.0555864,55.81395349,1378.038304,0.072607261,6.148817872
Cold,22,ENVCOLD,22,45.22059333,129.8349289,113.9922454,47.72727273,1331.851028,0.085589336,9.74845731
Cold,22,ENVCOLD,23,44.16847808,66.36352093,54.3048083,32.55813953,1359.088382,0.039956789,4.88294373
Cold,22,ENVCOLD,24,46.46483868,42.82142247,43.15056969,19.56521739,1290.788026,0.033429633,3.317463565
Cold,22,ENVCOLD,25,50.22786007,146.4880783,236.9376655,73.46938776,1204.669261,0.196682752,12.16002458
Cold,22,ENVCOLD,27,54.30957549,73.40830719,74.43618656,32.0754717,1107.405349,0.067216748,6.628856115
Cold,22,ENVCOLD,28,44.24623705,72.33194183,86.7625592,48.8372093,1359.088382,0.063838791,5.322092572
Cold,22,ENVCOLD,29,40.5214125,110.805532,119.0899682,55,1479.683835,0.080483388,7.488459993
Cold,22,ENVCOLD,30,51.07493364,169.4399205,233.8914516,56,1181.702253,0.197927567,14.33863057
Cold,22,ENVCOLD,31,49.68484245,63.45624544,49.51467408,30.6122449,1206.670372,0.041034134,5.258788722
Cold,22,WATCOLD,1,48.70438039,179.2494399,189.2797759,52.08333333,1237.422151,0.152962977,14.4857145
Cold,22,WATCOLD,2,53.84589318,126.8194201,144.5085997,50.94339623,1122.228398,0.128769331,11.30067822
Cold,22,WATCOLD,3,60.93045183,87.43107264,127.4372863,61.66666667,987.9805721,0.128987644,8.849472865
Cold,22,WATCOLD,4,57.07752909,129.0131408,168.02792,32.72727273,1058.326054,0.158767631,12.19030187
