ID,estado,period,mean_HR,condition
16,WATHEAT,Last_30s,56.444503353027436,heat
17,29C,First_30s,76.8833395648613,heat
17,29C,Last_30s,71.91292471819645,heat
17,36C,First_30s,33.49361220253513,heat
17,36C,Last_30s,23.571985726148174,heat
17,ENVHEAT,First_30s,43.61407305434457,heat
17,ENVHEAT,Last_30s,47.02669823163244,heat
17,WATHEAT,First_30s,47.7207967952309,heat
17,WATHEAT,Last_30s,50.31764102746146,heat
18,29C,First_30s,50.49350169130322,heat
18,29C,Last_30s,46.308145906494474,heat
18,36C,First_30s,74.85604425345781,heat
18,36C,Last_30s,69.53616153688188,heat
18,ENVHEAT,First_30s,47.670296572307564,heat
18,ENVHEAT,Last_30s,50.26569252796498,heat
19,29C,First_30s,61.46277674912266,heat
19,29C,Last_30s,59.08515830685415,heat
19,ENVHEAT,First_30s,49.614851544027744,heat
19,ENVHEAT,Last_30s,50.51489844114278,heat
19,WATHEAT,First_30s,58.4804004190917,heat
19,WATHEAT,Last_30s,60.319109049492575,heat
20,29C,First_30s,69.94622653271789,heat
20,29C,Last_30s,67.21825472570401,heat
20,36C,First_30s,67.27474733420958,heat
20,36C,Last_30s,58.71846716810566,heat
20,ENVHEAT,First_30s,42.475156463603064,heat
20,ENVHEAT,Last_30s,44.48208634871652,heat
20,WATHEAT,First_30s,44.86954192438639,heat
20,WATHEAT,Last_30s,43.47503798991082,heat
21,29C,First_30s,66.26309092248748,heat
21,29C,Last_30s,60.66015406163734,heat
21,36C,First_30s,72.12717639925737,heat
21,36C,Last_30s,65.34112367178807,heat
21,ENVHEAT,First_30s,57.30449705801817,heat
21,ENVHEAT,Last_30s,57.449085713488685,heat
21,WATHEAT,First_30s,59.58098221265171,heat
21,WATHEAT,Last_30s,61.28743876237886,heat
22,36C,First_30s,45.63760164949532,heat
22,36C,Last_30s,29.00182454633435,heat
22,ENVHEAT,First_30s,51.53153995780012,heat
22,ENVHEAT,Last_30s,51.97325639505028,heat
22,WATHEAT,First_30s,55.849920386898816,heat
22,WATHEAT,Last_30s,57.54376730979518,heat
23,36C,First_30s,52.12888529421308,heat
23,36C,Last_30s,43.029676376431404,heat
23,ENVHEAT,First_30s,49.14320929128963,heat
23,ENVHEAT,Last_30s,52.368339592546576,heat
23,WATHEAT,First_30s,53.979986917720076,heat
23,WATHEAT,Last_30s,54.95061594520277,heat
24,29C,First_30s,62.09547873036422,heat
24,29C,Last_30s,59.433033998489854,heat
24,36C,First_30s,70.80890109035592,heat
24,36C,Last_30s,61.572515794038665,heat
24,ENVHEAT,First_30s,50.01451751627033,heat
24,ENVHEAT,Last_30s,51.05063914181561,heat
25,29C,First_30s,65.11793189244864,heat
25,29C,Last_30s,63.37603453719524,heat
25,36C,First_30s,78.23818388514613,heat
25,36C,Last_30s,71.64383925261964,heat
25,ENVHEAT,First_30s,56.36424540127102,heat
25,ENVHEAT,Last_30s,56.78549428490592,heat
25,WATHEAT,First_30s,58.93666248025687,heat
25,WATHEAT,Last_30s,60.911784364222456,heat
26,29C,First_30s,67.34027818251657,heat
26,29C,Last_30s,64.30285573031853,heat
26,36C,First_30s,70.59307689108869,heat
26,36C,Last_30s,67.08892540149122,heat
26,ENVHEAT,First_30s,41.842477097845396,heat
26,ENVHEAT,Last_30s,41.22940788079049,heat
26,WATHEAT,First_30s,47.36833586749966,heat
26,WATHEAT,Last_30s,51.20762725762575,heat
27,36C,First_30s,70.52585370019617,heat
27,36C,Last_30s,63.77917819938686,heat
27,ENVHEAT,First_30s,45.52683684898062,heat
27,ENVHEAT,Last_30s,45.28226668688595,heat
27,WATHEAT,First_30s,46.85240273568119,heat
27,WATHEAT,Last_30s,48.42660586459126,heat
28,29C,First_30s,65.43919990239235,heat
28,29C,Last_30s,62.52395263621443,heat
28,36C,First_30s,67.20537249154407,heat
28,36C,Last_30s,68.4620335552435,heat
28,ENVHEAT,First_30s,43.86090173438891,heat
28,ENVHEAT,Last_30s,45.30791643545392,heat
28,WATHEAT,First_30s,50.17630138583135,heat
28,WATHEAT,Last_30s,50.320335716876706,heat
29,29C,First_30s,54.39476251531517,heat
29,29C,Last_30s,50.66173349549669,heat
29,ENVHEAT,First_30s,59.231284390353615,heat
29,ENVHEAT,Last_30s,54.586507832135005,heat
29,WATHEAT,First_30s,54.5434356917663,heat
29,WATHEAT,Last_30s,55.1153953353906,heat
30,29C,First_30s,60.501483798358386,heat
30,29C,Last_30s,61.409252899863034,heat
30,ENVHEAT,First_30s,49.66779031542303,heat
30,ENVHEAT,Last_30s,50.026757598212406,heat
